mof label, metal(s)
COKQIE_clean, Fe-O-Fe
COKQOK_clean, Zn-O-Zn
COMDOY_clean, Ga-O-Ga
COMGUH_clean, Na-O-Na, Na-O-Cd
COQHUN_clean, Mn-O-Mn
COQJAV_clean, Mn-O-Mn
COQTEJ_clean, Mg-O-Mg
COSWEO_clean, Ba-O-Ba
COVPAG_clean, Zn-O-K, K-O-K
COVYIX_clean, Cu-O-Cu
COWMAD_clean, Dy-O-Dy
COWMEH_clean, Tb-O-Tb
COWMIL_clean, Ho-O-Ho
COWMOR_clean, Er-O-Er
COWMUX_clean, Tm-O-Tm
COWRAJ_clean, Co-O-Co
COWREN_clean, Co-O-Co
COWRIR_clean, Co-O-Co
COYTEQ_clean, La-O-La
COYTIU_clean, Ce-O-Ce
COYTOA_clean, Sm-O-Sm
COZMUA_clean, Co-O-Co
CSMNOX_clean, Cs-O-Mn
CUBHOY_clean, Cd-O-Cd
CUFJUK_clean, Co-O-Co
CUGXAF_clean, Co-O-Co
CUKXOW_clean, Tb-O-Tb
CUKXUC_clean, Eu-O-Eu
CUKYAJ_clean, Dy-O-Dy
CUMDEU_clean, Ce-O-Ce
CUMDIY_clean, La-O-La
CUMDUK_clean, Mo-O-Mo
CURZEV_clean, Cu-O-Cu
CUSDIE_charged, Cu-O-Cu
CUSYAR_clean, Zn-O-Zn
CUTBEA_clean, Eu-O-Eu
CUTBIE_clean, La-O-La
CUTBOK_clean, Tb-O-Tb
CUTGEF_clean, Cd-O-Cd
CUVHEH_clean, Nd-O-Nd
CUVHIL01_clean, Nd-O-Nd
CUVHIL02_clean_h, Nd-O-Nd
CUVHIL_clean_h, Nd-O-Nd
CUVTUJ_clean, Co-O-Co
CUVXAT_clean, Mn-O-Mn
CUWNIT_clean, Co-O-Co
CUWNOZ_clean, Co-O-Co
CUWTUL_clean, Eu-O-Eu
CUWVAT_clean, Eu-O-Eu
CUWVEX_clean, Eu-O-Eu
CUWVIB_clean, Eu-O-Eu
CUWWEY_clean, Eu-O-Eu
CUWXID_clean, Eu-O-Eu
CUWXOJ_clean, Eu-O-Eu
CUWXUP_clean, Eu-O-Eu
CUWYAW_clean, Eu-O-Eu
CUWYUQ_clean, Eu-O-Eu
CUWZAX_clean, Eu-O-Eu
CUWZIF_clean, Eu-O-Eu
CUXDUU_clean, Ga-O-Ga
CUXFIL_clean, Mn-O-Mn
CUXJAI_clean, Eu-O-Eu
CUXJEM_clean, Eu-O-Eu
CUZBUW_clean, Co-O-Co
DABGIZ_clean, Mo-O-Mo, Mo-O-Cd, Cd-O-Cd
DACZUF_clean, Co-O-Co
DADLIG_clean, Mn-O-Mn
DADLOM_clean, Mn-O-Mn
DADNII_clean, Eu-O-Fe
DADNOO_clean, Dy-O-Fe
DADNUU_clean, Gd-O-Fe
DADPAC_clean, Sm-O-Fe
DADPEG_clean, Er-O-Fe
DAFHEZ_clean, Co-O-Co
DAFHID_clean, Ni-O-Ni
DAFHOJ_clean, Mn-O-Mn
DAFJOM_clean, Mg-O-Mg
DAFYAN_clean, Mg-O-Mg
DAFYER_clean, Mg-O-Mg
DAFYOB_clean, Mg-O-Mg
DAGDUL_clean, Cd-O-Cd
DAHNUW_clean, Nd-O-Nd
DAHWAM_clean, Eu-O-Eu
DAKZUN_clean, Tb-O-Tb
DALSAN_clean, Fe-O-Fe
DALSER_clean, Fe-O-Fe
DALVIY_clean, Gd-O-Gd
DAPXID_ion_b, Cu-O-Na
DAPYAW_clean, Cd-O-Cd
DATHAJ_clean, Nd-O-Nd
DATPIY_clean, Eu-O-Eu
DAWCIP_clean, Zn-O-Zn
DAWCOV_clean, Mn-O-Mn
DEBNUU_clean, Al-O-Al
DEFKUU_clean, Cu-O-Cu
DEGPEL_charged, Cu-O-Cu
DEJJIN_clean, Zn-O-Zn
DEPXIG_clean, Mn-O-Mn
DEPXOM_clean, Mn-O-Mn
DEPXUS_clean, Eu-O-Eu
DEPYAZ_clean, Nd-O-Nd
DEPYED_clean, Sm-O-Sm
DEQFOU_clean, Cu-O-Cu
DEWQUS_clean, Mo-O-Mo, Mo-O-Co
DEWRIH_clean, Mo-O-Mo, Mo-O-Cd
DEXDER_clean, Cd-O-K, Ru-O-K
DEYJIC_clean, V-O-V, V-O-Ni
DEYJOI_clean, V-O-V, V-O-Co
DEYXIQ_clean, Co-O-Co
DIBJEF_clean, Eu-O-Eu
DIBJIJ_clean, Eu-O-Eu
DIBPAH_clean, Ce-O-Ce
DIBQEM_clean, Co-O-Co
DIBQIQ_clean, Co-O-Co
DIBQOW_clean, Co-O-Co
DIBQUC_clean, Co-O-Co
DIBWUH_clean, Ni-O-Ni
DIBWUI_clean, Tb-O-Tb
DIBXAO_clean, Co-O-Co
DIBXAP_clean, Ho-O-Ho
DIBXIX_clean, Eu-O-Eu
DIBXOD_clean, Dy-O-Dy
DICVAO_clean, Nd-O-Nd
DICVES_clean, Pr-O-Pr
DICVIW_clean, Eu-O-Eu
DIKPOD_clean, La-O-La
DIMJUG_clean, Tb-O-Tb
DIMKER_clean, Gd-O-Gd
DIMKIV_clean, Eu-O-Eu
DIMKUH_clean, Dy-O-Dy
DINNIZ_clean, Mn-O-Mn
DIRBIP_clean, Ga-O-Ga
DITJIB_clean, Hf-O-Hf
DITJOH_clean, Zr-O-Zr
DITTEH_clean, Zn-O-Zn
DIVNIH_clean, Nd-O-Nd
DIVSUY_clean, Eu-O-Eu
DIWMON_clean, Sr-O-Sr
DIXKOL_clean, Co-O-Co
DIZQOT_clean, Zn-O-Co, Co-O-Co
DOKBUC_clean, Fe-O-Fe
DOKHIV_clean, Cu-O-Cu
DOLRAZ_clean, Mg-O-Mg
DOMFUI_clean, Na-O-Na, Na-O-Sm, Sm-O-Sm
DOMGET_clean, Na-O-Na, Na-O-Dy, Dy-O-Dy
DOMKEX_clean, Na-O-Na
DONKIC_clean, Co-O-Co
DONKOI_clean, Ni-O-Ni
DONKUO_clean, Mn-O-Mn
DONNAW_clean, Ga-O-Ga
DONNEA_clean, Ga-O-Ga
DONNIE_clean, Ga-O-Ga
DOQRUY_clean, Co-O-Na
DORFUM_clean, K-O-K, K-O-Fe
DOTTEM_clean, Ga-O-Ga
DOTYES_clean, W-O-W, W-O-Ni, Ni-O-Ni
DOWQIP_clean, Zn-O-Zn
DOYBEA_clean, Al-O-Al
DOZKIO_clean, Eu-O-Eu
DUBWON_clean, Zn-O-Zn
DUCHEP_clean, Mo-O-Mo
DUDKEU_clean, Co-O-Co
DUDKUK_clean, Cd-O-Cd
DUDZOT_clean, Gd-O-Gd
DUFGOB_clean, K-O-U
DUFKAS_clean, Ce-O-Ce
DUJRAD_clean, Cu-O-Ba
DUKDOD01_clean, Ho-O-Ho
DUMXEQ01_clean, Dy-O-Dy
DUMXEQ_clean, Dy-O-Dy
DUMXIU_clean, Dy-O-Dy
DUNJON_clean, W-O-W, W-O-Co, Co-O-Co
DUPKAC_clean, Zn-O-Zn
DUQCAU01_clean, Pr-O-Pr
DUQCAU_clean, Pr-O-Pr
DUVNIS01_charged, Co-O-Co
DUVNIS_charged, Co-O-Co
DUWBEE_clean, Cd-O-Cd
DUWRAQ_clean, Mg-O-Mg
DUWROE_clean, Mg-O-Mg
DUWRUK_clean, Mg-O-Mg
DUXKEN_clean, V-O-V, V-O-Ni
DUYRAR_clean, Nd-O-W, W-O-W
DUYREV_clean, Pr-O-W, W-O-W
DUYRIZ_clean, Ce-O-W, W-O-W
DUYROF_clean, La-O-W, W-O-W
DUZWOM_clean, Mn-O-Mn
EBANAY_clean, Sr-O-Sr
EBEGEZ_clean, Mo-O-Mo, Mo-O-Co
EBEGID_clean, Mo-O-Mo, Mo-O-Mn
EBEXEQ01_clean, Gd-O-Gd
EBEXEQ_clean, Gd-O-Gd
EBIHII_clean, Fe-O-Fe
EBIMEJ_clean, Co-O-Co
EBIMIN_charged, Mn-O-Mn
EBIMOT_charged, Mg-O-Mg
EBIPOX_clean, Zn-O-Zn
EBOJOV_clean, Eu-O-Eu
EBUQEX_clean, Na-O-Na
EBUREA_clean, Mn-O-Mn
ECEDAU_clean, Sr-O-Sr
ECEZAO01_clean, Ni-O-Ni
ECIWOC_clean, Zn-O-Zn
ECIYEU01_clean, Al-O-Al
ECIYEU02_clean, Al-O-Al
ECIYEU_clean, Al-O-Al
ECODIK_clean, Cu-O-Cu
ECOLOX_clean, U-O-U
ECORIX_clean, Ni-O-Ni
ECOROD_clean, Co-O-Co
ECOSIY_clean, Co-O-Co
ECUCIP_clean, Eu-O-Eu
ECUCOV_clean, Tb-O-Tb
ECUCUB_clean, Yb-O-Yb
ECUDAI_clean, Nd-O-Nd
ECUDEM_clean, Sm-O-Sm
ECUFAL_charged, Cs-O-U
EDABOC_clean, Pr-O-Pr
EDAFUM_clean, Co-O-Co
EDAGAT_clean, Co-O-Co
EDAGEX_clean, Co-O-Co
EDAVOV_clean, Cu-O-Cu
EDEPAG_clean, Eu-O-Eu
EDORIY_charged, W-O-W
EDUSIF_clean, Zn-O-Zn
EDUSUR_clean, Zn-O-Zn
EDUTIG_clean, Zn-O-Zn
EDUVOO_clean, Zn-O-Zn
EFEGOM_clean, Fe-O-Fe
EFESEP_clean, Zn-O-Zn
EFESOZ_clean, Zn-O-Zn
EFILUA_clean, Ga-O-Ga
EFIMOV_clean, Be-O-Na, Na-O-Na
EGAFOJ_clean, La-O-La
EGAFUP_clean, Nd-O-Nd
EGAGAW_clean, Eu-O-Eu
EGAGEA_clean, Gd-O-Gd
EGATEM_clean, Zn-O-Zn, Zn-O-Co
EGATIQ_clean, Zn-O-Zn, Zn-O-Ni
EGATOW_clean, Zn-O-Co
EGEJIK_manual, Zn-O-Zn
EGELUY01_manual, Al-O-Al
EGELUY_SL, Al-O-Al
EHALOP_manual, Al-O-Al
EHODOV_SL, In-O-In
EJEGOQ_clean, U-O-U, U-O-Co, Co-O-Co
EJETAQ_clean, Eu-O-Na
EJIDUW01_clean, Nd-O-Nd
EJIDUW02_clean, Nd-O-Nd
EJOQOL_clean, Cu-O-K
EJOQUR_clean, Cu-O-Cu
