sbu name, number of mofs built from it
connector_639, 3
connector_640, 16
connector_641, 3
connector_642, 1
connector_643, 1
connector_644, 6
connector_645, 3
connector_646, 1
connector_647, 11
connector_648, 7
connector_649, 1
connector_650, 1
connector_651, 10
connector_652, 1
connector_653, 1
connector_654, 1
connector_655, 18
connector_656, 1
connector_657, 5
connector_658, 6
connector_659, 1
connector_660, 1
connector_661, 1
connector_662, 1
connector_663, 3
connector_664, 12
connector_665, 1
connector_666, 6
connector_667, 1
connector_668, 3
connector_669, 1
connector_670, 1
connector_671, 1
connector_672, 1
connector_673, 1
connector_674, 1
connector_675, 2
connector_676, 3
connector_677, 2
connector_678, 2
connector_679, 2
connector_680, 2
connector_681, 2
connector_682, 2
connector_683, 24
connector_684, 18
connector_685, 1
connector_686, 1
connector_687, 1
connector_688, 4
connector_689, 3
connector_690, 6
connector_691, 2
connector_692, 9
connector_693, 2
connector_694, 1
connector_695, 3
connector_696, 5
connector_697, 10
connector_698, 2
connector_699, 17
connector_700, 3
connector_701, 2
connector_702, 3
connector_703, 2
connector_704, 1
connector_705, 1
connector_706, 1
connector_707, 2
connector_708, 1
connector_709, 3
connector_710, 2
connector_711, 1
connector_712, 1
connector_713, 11
connector_714, 16
connector_715, 5
connector_716, 2
connector_717, 2
connector_718, 1
connector_719, 19
connector_720, 1
connector_721, 1
connector_722, 4
connector_723, 1
connector_724, 19
connector_725, 2
connector_726, 9
connector_727, 1
connector_728, 1
connector_729, 1
connector_730, 1
connector_731, 2
connector_732, 1
connector_733, 9
connector_734, 2
connector_735, 7
connector_736, 18
connector_737, 1
connector_738, 2
connector_739, 2
connector_740, 9
connector_741, 2
connector_742, 20
connector_743, 13
connector_744, 4
connector_745, 1
connector_746, 6
connector_747, 1
connector_748, 3
connector_749, 1
connector_750, 4
connector_751, 2
connector_752, 4
connector_753, 2
connector_754, 4
connector_755, 3
connector_756, 3
connector_757, 1
connector_758, 5
connector_759, 2
connector_760, 1
connector_761, 1
connector_762, 1
connector_763, 14
connector_764, 12
connector_765, 1
connector_766, 2
connector_767, 5
connector_768, 2
connector_769, 3
connector_770, 2
connector_771, 1
connector_772, 2
connector_773, 1
connector_774, 1
connector_775, 3
connector_776, 4
connector_777, 1
connector_778, 1
connector_779, 8
connector_780, 12
connector_781, 1
connector_782, 4
connector_783, 4
connector_784, 2
connector_785, 11
connector_786, 3
connector_787, 1
connector_788, 4
