mof label, metal(s)
HAZNON_clean, Cd-O(H)-Cd
HEZPIL01_clean, V-O(H)-V
HICWIB_clean, K-O(H)-Co
HIFGIO_SL, Zn-O(H)-Zn
HISGAT_clean, K-O(H)-K
HISJAW_clean, Co-O(H)-Co
HIWXER01_SL, Zn-O(H)-Zn
HIWXER_clean, Zn-O(H)-Zn
HOKGUJ_clean, Co-O(H)-Co
HOWROC_clean, Ba-O(H)-Ba
HOXSUK_clean, Ni-O(H)-Ni
HUDWUA_clean, Cu-O(H)-Cu
HUHBET_clean, Na-O(H)-Na
HUHJOL_clean, Na-O(H)-Na
HURFEH_clean, Zn-O(H)-Zn
HURFUX_clean, Zn-O(H)-Zn
HURGAE_clean, Zn-O(H)-Zn
HUTZEB_clean, Na-O(H)-Zn
IBOZIK_clean, Cu-O(H)-Cu
ic060771psi20060614_113937_clean, V-O(H)-V
ic400607w_si_001_clean, Zn-O(H)-Zn
ic401474f_si_002_clean, K-O(H)-K
ic402280p_si_002_clean, Cu-O(H)-Cu
ic502042h_si_002_clean, Dy-O(H)-Dy
ic502730y_si_002_clean, V-O(H)-V
ic5b00096_auto, Zr-O(H)-Zr
ic5b00535_si_002_clean, Zr-O(H)-Zr
IDIWUN_clean, Zn-O(H)-Zn
IDIXAU_clean, Zn-O(H)-Zn
IFENOY01_SL, Zn-O(H)-Zn
IFENOY02_SL, Zn-O(H)-Zn
IFENOY_clean, Zn-O(H)-Zn
IFEPUG_SL, Zn-O(H)-Zn
IFEQAN_SL, Zn-O(H)-Zn
IFEQIV_SL, Zn-O(H)-Zn
IHIWIF_clean, Ba-O(H)-Ba
IHOTEG_clean, Mg-O(H)-Mg
IJEXIF01_clean, Zn-O(H)-Zn
IJEXIF_clean, Zn-O(H)-Zn
IJEXUR_clean, Zn-O(H)-Zn
IKEZED_clean, Zn-O(H)-Zn
IKOPEF_clean, Cu-O(H)-Cu
IQABEJ_clean, Co-O(H)-Co
IREKUN_clean, Zn-O(H)-Zn
ITIPOS_clean, Cu-O(H)-Cu, Cu-O(H)-Ca
ja076167asi20070815_063752_clean, Zn-O(H)-Zn
ja4050828_auto, Zr-O(H)-Zr
ja500330a_si_005_clean, Zr-O(H)-Zr
ja500330a_si_006_auto, Zr-O(H)-Zr
ja500330a_si_007_auto, Zr-O(H)-Zr
ja500330a_si_009_auto, Zr-O(H)-Zr
ja507947d_si_001_auto, Zr-O(H)-Zr
ja5103103_si_002_auto, Zr-O(H)-Zr
ja5111317_ja5111317_si_002_auto, Zr-O(H)-Zr
ja512762r_si_002_auto, Zr-O(H)-Zr
ja512973b_si_002_auto, Zr-O(H)-Zr
ja512973b_si_003_auto, Zr-O(H)-Zr
ja512973b_si_004_auto, Zr-O(H)-Zr
ja512973b_si_005_auto, Zr-O(H)-Zr
JEBDOK_clean, In-O(H)-In
JENKET_SL, Zn-O(H)-Zn
JENKIX_SL, Zn-O(H)-Zn
JEXSOV_clean, Nd-O(H)-Nd
JITPOS_SL, Zn-O(H)-Zn
JOCWIJ_clean, Cu-O(H)-Cu
JUKNUA_clean, Cu-O(H)-Cu
JUSHAI_clean, Co-O(H)-Co
JUXFAL_clean, Tb-O(H)-Tb
jz4002345_si_002_clean, Zr-O(H)-Zr
jz4002345_si_003_clean, Zr-O(H)-Zr
jz4002345_si_004_clean, Zr-O(H)-Zr
jz4002345_si_005_clean, Ti-O(H)-Ti
jz4002345_si_006_clean, Hf-O(H)-Hf
KAFYAT_clean, Zn-O(H)-Zn
KALFEK_clean, Ni-O(H)-Ni
KALFOU_clean, Ni-O(H)-Ni
KALGEL_clean, Ni-O(H)-Ni
KAWBOB_clean, Mn-O(H)-Mn
KEDQAN_clean, Zn-O(H)-Zn
KIDDIM_clean, Cd-O(H)-Cd
KIPZEQ_clean, Co-O(H)-Co
KOHKIC_clean, Zn-O(H)-Zn
KOHKOI_clean, Zn-O(H)-Zn
KOJTOU_clean, Ni-O(H)-Ni
KOMVIT_clean, K-O(H)-K
KORMOV_clean, Co-O(H)-Co
KUCDOD_clean, Cu-O(H)-Cu
KUDWAJ_clean, Cu-O(H)-Cu
KUXLUL_clean, Cu-O(H)-Cu
LASMAV_neutral, Co-O(H)-Co
LECFAC_clean, Cu-O(H)-Cu
LECFEG_clean, Cu-O(H)-Cu
LECGIL_clean, Cu-O(H)-Cu
LEVYOC_clean, Co-O(H)-Co
LEYYET_clean, Al-O(H)-Al
LIHRIE_clean, Zn-O(H)-Zn
LIJXEI_clean, Cd-O(H)-Cd
LIRTEM_SL, Cd-O(H)-Cd
LITCIC_clean, Ni-O(H)-Ni
LOMLUV_clean, Ga-O(H)-Ga
LOQLEJ_manual, In-O(H)-In
LOQLIN_SL, Ga-O(H)-Ga
LORMOW_clean, Cd-O(H)-Cd
LORROB_clean, Eu-O(H)-Eu
LUJBAV_clean, Co-O(H)-Co
LUPYAX_clean, Zn-O(H)-Zn
LUZJAT_clean, Zn-O(H)-Zn
MAFZOK_clean, Zn-O(H)-Zn
MAQZOV_clean, Co-O(H)-Co
MARNOL_clean, Co-O(H)-Co
MARNUR_clean, Zn-O(H)-Zn
MATPOP_clean, Tb-O(H)-Tb
MATPUV_clean, Tb-O(H)-Tb
MAYJOM_clean, In-O(H)-In
MINCER_clean, Ba-O(H)-Ba
MINVUA01_SL, Cr-O(H)-Cr
