Tb-O-K, 3
Tb-O-Na, 1
Tb-O-Tb, 91
Tb-O-Zn, 2
Th-O-Th, 4
Ti-O-Ti, 17
Tm-O-Tm, 7
U-O-Co, 3
U-O-Cs, 1
U-O-Cu, 1
U-O-K, 2
U-O-Mn, 2
U-O-Na, 2
U-O-Sr, 1
U-O-U, 46
U-O-Zn, 1
V-O-Ag, 1
V-O-Co, 8
V-O-Cu, 3
V-O-K, 3
V-O-Li, 1
V-O-Mo, 1
V-O-Ni, 10
V-O-V, 108
V-O-W, 1
V-O-Zn, 3
W-O-Ag, 1
W-O-Ce, 2
W-O-Co, 8
W-O-Cu, 8
W-O-K, 6
W-O-La, 1
W-O-Lu, 1
W-O-Na, 4
W-O-Ni, 2
W-O-Rb, 1
W-O-Sm, 1
W-O-Tm, 1
W-O-V, 1
W-O-W, 62
W-O-Y, 1
W-O-Yb, 1
W-O-Zn, 1
Y-O-Cs, 1
Y-O-Rb, 1
Y-O-W, 2
Y-O-Y, 13
Yb-O-Cs, 1
Yb-O-K, 2
Yb-O-Na, 1
Yb-O-Yb, 16
Zn-O-Ba, 1
Zn-O-Cd, 2
Zn-O-Co, 8
Zn-O-Cu, 1
Zn-O-Gd, 1
Zn-O-K, 2
Zn-O-Mo, 5
Zn-O-Na, 7
Zn-O-Ni, 1
Zn-O-Tb, 1
Zn-O-U, 1
Zn-O-V, 2
Zn-O-Zn, 394
Zr-O-Zr, 80
